"orig.ident","Treatment","Cell_Annotation","Seurat_Clusters","UMAP_1","UMAP_2"
"Vehicle","Vehicle_Tumor","Naive","1",6.08737248570924,-1.80786092638882
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.26043682901855,-0.915690377949797
"Vehicle","Vehicle_Tumor","Exhausted","2",0.680298391890573,-7.69614036440762
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.54861872999663,-6.59880502581509
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-5.1238635143518,5.43971244931308
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.9012425503015,0.323269925416388
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.56071835367675,-1.09589858412655
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.60235792009826,-6.6654907023898
"Vehicle","Vehicle_Tumor","Naive","1",6.05218857915406,-1.97655685305508
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.65363305418487,-6.39480407595547
"Vehicle","Vehicle_Tumor","Exhausted","2",-3.06562190859313,-4.16646345019253
"Vehicle","Vehicle_Tumor","Effector_Memory","7",-3.32211953012939,7.75760929226962
"Vehicle","Vehicle_Tumor","Better_Effector","3",-7.23498230783935,0.200950437095888
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.38707524149413,-0.996889308690153
"Vehicle","Vehicle_Tumor","Effector_Memory","4",2.96155470998292,1.69787423253147
"Vehicle","Vehicle_Tumor","Stem_Like","8",3.20242733151917,-2.77577193140896
"Vehicle","Vehicle_Tumor","Naive","1",6.65244168431764,-1.42995961069974
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.848940487790061,-7.00571925997647
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.64437895624633,1.66953580021945
"Vehicle","Vehicle_Tumor","Better_Effector","3",-3.82413678972716,-4.11137254595669
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.35063200800414,-0.581363097428404
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.33246105520721,-5.81769712328824
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-5.26693135111327,4.43126670956699
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-6.58971291391845,2.99923245549289
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.0954359134912,-1.57482202410611
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.61880187301631,-6.91849620699795
"Vehicle","Vehicle_Tumor","Better_Effector","3",-7.00758391230102,0.932089492083468
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.9380302986383,-5.7541456973544
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.29117232172484,-0.600770846604429
"Vehicle","Vehicle_Tumor","Naive","6",8.8314177432776,2.97056262135593
"Vehicle","Vehicle_Tumor","Naive","6",9.42152470738893,3.93204133153049
"Vehicle","Vehicle_Tumor","Effector_Memory","7",-2.23737245409484,7.94725124478427
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.3806355556726,-5.86703212618741
"Vehicle","Vehicle_Tumor","Better_Effector","3",-7.63632469980712,-0.00536014199169724
"Vehicle","Vehicle_Tumor","Naive","6",8.39237374455934,4.41053335309116
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-4.74508934824462,5.34449903607456
"Vehicle","Vehicle_Tumor","Effector_Memory","7",-8.30306750147338,0.877385481596865
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-4.15937262384887,4.14476267933933
"Vehicle","Vehicle_Tumor","Exhausted","2",-5.3376119693994,3.23624651074497
"Vehicle","Vehicle_Tumor","Effector_Memory","4",1.83715409429078,3.59079258084384
"Vehicle","Vehicle_Tumor","Effector_Memory","4",0.595197681498575,2.37760202527133
"Vehicle","Vehicle_Tumor","Naive","1",0.477339033198404,-8.91318805575284
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.05572133867736,-6.23122079729947
"Vehicle","Vehicle_Tumor","Effector_Memory","4",0.221943024706888,4.30670539975254
"Vehicle","Vehicle_Tumor","Exhausted","2",0.761498037886667,-8.29062278628262
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.272555772054148,-7.5024834430209
"Vehicle","Vehicle_Tumor","Naive","6",8.19235486180787,4.14566533207981
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.82381301729674,-6.57232673525723
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.84981757013793,-1.64750309348019
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.9248889049768,-4.69884403109463
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.69351988642211,-0.0980284965029582
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.21785598604674,-0.377987400292478
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.55566197245116,-1.59858889937314
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.13339584677215,-6.00743348956021
"Vehicle","Vehicle_Tumor","Naive","1",6.84574956090455,1.63792113900272
"Vehicle","Vehicle_Tumor","Naive","6",8.59894723088746,1.82057373166171
"Vehicle","Vehicle_Tumor","Naive","6",9.25587147862916,2.36753193974582
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-5.82919627039428,5.68871824383823
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.40806346743102,-7.17550905108365
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.85721379129882,-6.46118743777188
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.36026131718154,-7.30793149828824
"Vehicle","Vehicle_Tumor","Naive","1",6.02194041402345,-1.53413946986111
"Vehicle","Vehicle_Tumor","Naive","1",8.69142502934938,-0.963045791386686
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-5.00725727884765,4.07745902180759
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.938634510922385,-6.79322774767788
"Vehicle","Vehicle_Tumor","Exhausted","2",0.229766015124368,-6.50017984270962
"Vehicle","Vehicle_Tumor","Stem_Like","8",4.68242901952271,-1.55624444842251
"Vehicle","Vehicle_Tumor","Naive","1",8.69312161595826,-0.613015965222441
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.335109051156,-0.221341744660459
"Vehicle","Vehicle_Tumor","Naive","1",6.37380046041017,-2.50112254977139
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.34497910349364,-5.88985307574185
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.92153757421966,-6.22148473620328
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.37553578226562,1.53637532830326
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.25984924643035,-6.03473146319302
"Vehicle","Vehicle_Tumor","Effector_Memory","7",-2.43115120737548,7.86234609723178
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.6760913690805,-7.16309888720425
"Vehicle","Vehicle_Tumor","Naive","1",6.16628379018311,-1.67537482142361
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.6133072933435,-5.32176072955044
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.6740856727838,-6.75560958743008
"Vehicle","Vehicle_Tumor","Effector_Memory","4",1.34414595754151,2.09674183964816
"Vehicle","Vehicle_Tumor","Naive","1",8.89362019689088,0.671397789717592
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-5.35630827753539,5.43585626721469
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.3427868446588,2.14689604878513
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.53427177278991,-7.27052076220425
"Vehicle","Vehicle_Tumor","Naive","6",8.38747758061891,3.71147029042331
"Vehicle","Vehicle_Tumor","Naive","1",9.1650940814734,0.945176228285708
